k,inercia,silhouette,davies_bouldin,calinski_harabasz,cluster_max_pct
2,455649.0,0.5364,0.8761,30061.0,85.2
3,351465.0,0.5392,0.9014,26380.5,81.6
4,297109.0,0.2933,1.2866,23641.1,56.9
5,261450.0,0.2327,1.2849,21734.8,43.0
6,232013.0,0.2231,1.2325,20774.0,42.8
7,211365.0,0.2185,1.2748,19759.8,36.7
8,195442.0,0.2209,1.251,18857.8,34.2
