tim_day,seller_nickname,titulo,seller_reputation,stock,logistic_type,condition,is_refurbished,price,regular_price,categoria,url,category_id,category_name,error_reason
2024-08-01,fcfd84beda,Control Inalambrico Dualsense Edge Wireless Color Blanco,,0,DS,new,False,0.0,,GAMING,https://articulo.mercadolibre.com.mx/MLM-2308916628-control-inalambrico-dualsense-edge-wireless-color-blanco-_JM,GAMING,VIDEOJUEGOS,price_invalido
2024-08-01,fcfd84beda,Control Joystick Inalámbrico Sony Playstation Dualsense Edge Color Blanco,,0,DS,new,False,0.0,,GAMING,https://articulo.mercadolibre.com.mx/MLM-1925344373-control-joystick-inalambrico-sony-playstation-dualsense-edge-color-blanco-_JM,GAMING,VIDEOJUEGOS,price_invalido
