cluster,sellers,main_category,reputation,avg_log_items_count,avg_log_total_stock,avg_log_avg_stock,avg_log_median_stock,avg_log_avg_price,avg_log_median_price,avg_pct_items_with_discount,avg_avg_discount_pct,avg_categories_count,avg_pct_fbm,avg_pct_xd,avg_pct_flex,avg_pct_ds,avg_pct_new,avg_pct_refurbished,avg_seller_reputation_score,avg_has_reputation,seller_share_pct
2,20003,JUGUETES Y JUEGOS,green,0.8255115754680757,1.277422291484866,1.1251919827492507,1.1128058194774604,7.491087688703732,7.469319125870442,0.026394632075030015,0.001925651914100376,1.0818377243413488,0.031090179546661077,0.6804407272473859,0.0,0.162798119964545,0.5902313825322433,0.007866754160545386,4.554366844973254,0.896915462680598,43.0
4,16172,DEPORTES,green,1.3528245851330012,4.530486036085595,3.641082614824624,3.4346302190916758,6.1169796519688155,5.993081197451619,0.1671613702217368,0.01385926792168873,1.6668933959930745,0.10334802173530012,0.7002171048546005,6.342079060357566e-05,0.15386577885763086,0.9593062149809998,0.003399261565231261,6.324820677714569,0.9902918624783577,34.76
0,5556,DEPORTES,green_platinum,1.4383511164646539,4.331703813799471,3.3165858593675104,3.045595319690815,6.312719780506169,6.184871350424386,0.8380019163434812,0.19543136621044493,1.8954283657307416,0.3879503650360585,0.49094862072794127,0.0,0.09143053063416713,0.9980439030327246,0.0066872004990113434,7.348452123830094,1.0,11.94
3,3288,DEPORTES,green_platinum,1.1372120078098062,4.580759806784998,3.9263802193366777,3.7685717419574623,5.721623520694539,5.654403977826459,0.9306791908596477,0.4699633590075026,1.7956204379562044,0.7899680244010282,0.1717047016153927,0.0,0.024890696005355373,0.9992023740655128,0.0022328548644338117,7.861922141119221,1.0,7.07
1,1505,DEPORTES,green_platinum,3.006712291227723,6.850818685489174,3.9845395326999133,3.1939172737036854,6.670367589901816,6.215496945911764,0.38115378921202936,0.08248892628426656,9.33687707641196,0.13599644284225532,0.4636098918313259,0.009982597690238886,0.34315084722586486,0.9919369821434008,0.0009173944797621573,7.647176079734219,1.0,3.23
